Ex_date,Ticker,Company,Payment_per_year,Dividend,Yield,Announced,Record,Payable
5/23/2023,TEAF,Tortoise Essential Assets,12,0.09,0.082004556,2/9/2023,5/24/2023,5/31/2023
5/22/2023,ADTN,Adtran,4,0.09,0.041142857,5/8/2023,5/23/2023,6/6/2023
5/22/2023,PFIN,P & F Industries,4,0.05,0.038986355,5/10/2023,5/23/2023,6/1/2023
5/22/2023,HNNA,Hennessy Advisors,4,0.1375,0.077247191,5/10/2023,5/23/2023,6/5/2023
5/22/2023,WLK,Westlake,4,0.357,0.012592593,5/12/2023,5/23/2023,6/8/2023
5/22/2023,GER,Goldman Sachs MLP,4,0.24,0.075859344,5/12/2023,5/23/2023,5/31/2023
5/22/2023,WMG,Warner Music Gr,4,0.16,0.024758221,5/12/2023,5/23/2023,6/1/2023
5/22/2023,FSCO,FS Credit Opp,12,0.0495,0.138461538,5/11/2023,5/23/2023,5/31/2023
5/22/2023,WYNN,Wynn Resorts,4,0.25,0.008868393,5/9/2023,5/23/2023,6/6/2023
5/22/2023,SPB,Spectrum Brands Holdings,4,0.42,0.023333333,5/10/2023,5/23/2023,6/8/2023
5/22/2023,FMN,Federated Hermes Premier,12,0.0385,0.043217961,5/10/2023,5/23/2023,6/1/2023
5/22/2023,NDSN,Nordson,4,0.65,0.011993173,5/10/2023,5/23/2023,6/6/2023
5/22/2023,PRU,Prudential Financial,4,1.25,0.060554681,5/9/2023,5/23/2023,6/15/2023
5/22/2023,ORA,Ormat Technologies,4,0.12,0.005675772,5/9/2023,5/23/2023,6/6/2023
5/22/2023,VLO,Valero Energy,4,1.02,0.037995902,5/9/2023,5/23/2023,6/22/2023
5/22/2023,TPX,Tempur Sealy Intl,4,0.11,0.011695906,5/9/2023,5/23/2023,6/6/2023
5/22/2023,SBSI,Southside Bancshares,4,0.35,0.049278423,5/4/2023,5/23/2023,6/6/2023
5/22/2023,PBI,Pitney Bowes,4,0.05,0.06097561,5/4/2023,5/23/2023,6/8/2023
5/22/2023,GEHC,GE HealthCare Techs,4,0.03,0.001366898,4/25/2023,5/23/2023,6/15/2023
5/22/2023,PFD,Flaherty & Crumrine Prefd,12,0.0575,0.065402844,4/20/2023,5/23/2023,5/31/2023
5/22/2023,PFO,Flaherty & Crumrine Prfd,12,0.047,0.068959615,4/20/2023,5/23/2023,5/31/2023
5/22/2023,FFC,Flaherty & Crumrine,12,0.087,0.072905028,4/20/2023,5/23/2023,5/31/2023
5/22/2023,FLC,Flaherty & Crumrine Total,12,0.089,0.071152565,4/20/2023,5/23/2023,5/31/2023
5/22/2023,DFP,Flaherty & Crumrine,12,0.11,0.072013093,4/20/2023,5/23/2023,5/31/2023
5/22/2023,JNJ,Johnson & Johnson,4,1.19,0.028731816,4/18/2023,5/23/2023,6/6/2023
5/22/2023,GOOD,Gladstone Commercial,12,0.1,0.096463023,4/11/2023,5/23/2023,5/31/2023
5/22/2023,GAIN,Gladstone Inv,12,0.08,0.073619632,4/11/2023,5/23/2023,5/31/2023
5/22/2023,LAND,Gladstone Land,12,0.046,0.032451499,4/11/2023,5/23/2023,5/31/2023
5/22/2023,GLAD,Gladstone Cap,12,0.08,0.104234528,4/11/2023,5/23/2023,5/31/2023
5/22/2023,HGLB,Highland Glb Allocation,12,0.084,0.111504425,4/3/2023,5/23/2023,5/31/2023
5/22/2023,LTC,LTC Properties,12,0.19,0.064901793,4/3/2023,5/23/2023,5/31/2023
5/22/2023,BGB,Blackstone Strategic,12,0.088,0.097959184,3/13/2023,5/23/2023,5/31/2023
5/22/2023,BGX,Blackstone Long-Short,12,0.099,0.108493151,3/13/2023,5/23/2023,5/31/2023
5/22/2023,BSL,Blackstone Senior,12,0.108,0.102531646,3/13/2023,5/23/2023,5/31/2023
5/22/2023,HYI,Western Asset High Yield,12,0.0945,0.091157556,2/14/2023,5/23/2023,6/1/2023
5/22/2023,MNP,Western Asset Municipal,12,0.043,0.041027598,2/14/2023,5/23/2023,6/1/2023
5/22/2023,MHF,Western Asset Municipal,12,0.0198,0.035462687,2/14/2023,5/23/2023,6/1/2023
5/22/2023,MMU,Western Asset Managed,12,0.0365,0.041516588,2/14/2023,5/23/2023,6/1/2023
5/22/2023,SBI,Western Asset,12,0.0235,0.035205993,2/14/2023,5/23/2023,6/1/2023
5/22/2023,IGI,Western Asset Invstm Grd,12,0.0665,0.046776084,2/14/2023,5/23/2023,6/1/2023
5/22/2023,GDO,Western Asset Glb Corp,12,0.101,0.091887794,2/14/2023,5/23/2023,6/1/2023
5/22/2023,EHI,Western Asset Global High,12,0.067,0.1066313,2/14/2023,5/23/2023,6/1/2023
5/22/2023,HIO,Western Asset High Income,12,0.03,0.089108911,2/14/2023,5/23/2023,6/1/2023
5/22/2023,HIX,Western Asset High Income,12,0.049,0.105,2/14/2023,5/23/2023,6/1/2023
5/22/2023,WDI,Western Asset Diversified,12,0.13,0.108938547,2/14/2023,5/23/2023,6/1/2023
5/22/2023,DMO,Western Asset Mortgage,12,0.1,0.104895105,2/14/2023,5/23/2023,6/1/2023
5/22/2023,BWG,BrandywineGLOBAL,12,0.08,0.111239861,2/14/2023,5/23/2023,6/1/2023
5/22/2023,EMD,Western Asset Emg Markets,12,0.07,0.087958115,2/14/2023,5/23/2023,6/1/2023
5/22/2023,PAI,Western Asset Investment,12,0.0465,0.045218801,2/14/2023,5/23/2023,6/1/2023
5/22/2023,WEA,Western Asset Premier,12,0.066,0.070714286,2/14/2023,5/23/2023,6/1/2023
5/22/2023,WIA,Western Asset Inflation,12,0.05,0.067340067,2/14/2023,5/23/2023,5/31/2023
5/22/2023,WIW,Western Asset,12,0.0605,0.077564103,2/14/2023,5/23/2023,5/31/2023
